team,comparison_team,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
Southampton,Liverpool,2.813968,-0.803533,0.803533,0.692585,0.692585,-2.145212,2.145212,1.067685,1.067685,1.025275,1.025275
Southampton,Manchester City,2.562209,-1.717551,1.717551,1.639710,1.639710,-0.269830,0.269830,-0.775800,0.775800,0.501608,0.501608
Southampton,Manchester United,4.100005,-1.797905,1.797905,1.667335,1.667335,-0.774176,0.774176,-1.555440,1.555440,2.789055,2.789055
Southampton,Newcastle United,1.819864,1.175167,1.175167,0.007893,0.007893,0.709019,0.709019,-0.833409,0.833409,0.856474,0.856474
Southampton,Norwich City,3.271578,0.401766,0.401766,-0.503160,0.503160,1.099465,1.099465,-1.761552,1.761552,2.444739,2.444739
Southampton,Stoke City,3.113021,0.753312,0.753312,0.331494,0.331494,0.753535,0.753535,0.617055,0.617055,2.839887,2.839887
Southampton,Sunderland,3.495492,1.607066,1.607066,-1.566703,1.566703,1.226546,1.226546,1.609208,1.609208,1.757066,1.757066
Southampton,Swansea City,2.852936,0.472076,0.472076,1.081301,1.081301,-0.061924,0.061924,-0.588891,0.588891,2.529140,2.529140
Southampton,Tottenham Hotspur,2.767764,-0.703091,0.703091,0.899769,0.899769,-2.127307,2.127307,1.263555,1.263555,0.484344,0.484344
Southampton,Watford,2.340441,0.914019,0.914019,-0.860305,0.860305,1.080067,1.080067,0.835969,0.835969,1.427137,1.427137
Southampton,West Bromwich Albion,3.749139,1.406183,1.406183,-1.215477,1.215477,1.235002,1.235002,-0.188189,0.188189,3.006770,3.006770
Southampton,West Ham United,1.720310,0.421855,0.421855,-0.023678,0.023678,1.190486,1.190486,-0.993433,0.993433,0.613822,0.613822
Stoke City,AFC Bournemouth,3.022986,-0.974284,0.974284,0.499214,0.499214,-1.648576,1.648576,-2.061118,2.061118,-0.986911,0.986911
Stoke City,Arsenal,2.414794,-2.018876,2.018876,1.057623,1.057623,-0.714491,0.714491,0.211233,0.211233,-0.285811,0.285811
Stoke City,Aston Villa,1.371773,-0.080353,0.080353,0.140096,0.140096,0.212631,0.212631,-1.141936,1.141936,-0.711650,0.711650
Stoke City,Chelsea,2.949913,-1.817993,1.817993,0.820842,0.820842,-1.142489,1.142489,-0.241957,0.241957,-1.832835,1.832835
Stoke City,Crystal Palace,2.366998,0.241060,0.241060,-1.101033,1.101033,-0.641127,0.641127,-1.767953,1.767953,-0.891960,0.891960
Stoke City,Everton,2.166899,-0.502208,0.502208,0.546570,0.546570,-0.086047,0.086047,0.184348,0.184348,-2.025613,2.025613
Stoke City,Leicester City,4.141873,0.120530,0.120530,-1.919901,1.919901,-0.097487,0.097487,-1.511913,1.511913,-3.340536,3.340536
Stoke City,Liverpool,3.801680,-1.556845,1.556845,0.361091,0.361091,-2.898748,2.898748,0.450630,0.450630,-1.814612,1.814612
Stoke City,Manchester City,4.033791,-2.470864,2.470864,1.308217,1.308217,-1.023365,1.023365,-1.392855,1.392855,-2.338279,2.338279
Stoke City,Manchester United,3.917831,-2.551217,2.551217,1.335841,1.335841,-1.527712,1.527712,-2.172495,2.172495,-0.050832,0.050832
Stoke City,Newcastle United,2.514445,0.421855,0.421855,-0.323601,0.323601,-0.044516,0.044516,-1.450464,1.450464,-1.983413,1.983413
Stoke City,Norwich City,2.598810,-0.351546,0.351546,-0.834654,0.834654,0.345930,0.345930,-2.378607,2.378607,-0.395148,0.395148
Stoke City,Southampton,3.113021,-0.753312,0.753312,-0.331494,0.331494,-0.753535,0.753535,-0.617055,0.617055,-2.839887,2.839887
Stoke City,Sunderland,2.590879,0.853754,0.853754,-1.898197,1.898197,0.473011,0.473011,0.992153,0.992153,-1.082821,1.082821
Stoke City,Swansea City,1.690310,-0.281237,0.281237,0.749807,0.749807,-0.815459,0.815459,-1.205946,1.205946,-0.310748,0.310748
Stoke City,Tottenham Hotspur,4.087767,-1.456403,1.456403,0.568275,0.568275,-2.880842,2.880842,0.646500,0.646500,-2.355543,2.355543
Stoke City,Watford,1.896476,0.160707,0.160707,-1.191799,1.191799,0.326532,0.326532,0.218914,0.218914,-1.412750,1.412750
Stoke City,West Bromwich Albion,1.930657,0.652870,0.652870,-1.546971,1.546971,0.481467,0.481467,-0.805244,0.805244,0.166883,0.166883
Stoke City,West Ham United,2.824177,-0.331457,0.331457,-0.355172,0.355172,0.436951,0.436951,-1.610489,1.610489,-2.226065,2.226065
Sunderland,AFC Bournemouth,4.787702,-1.828037,1.828037,2.397410,2.397410,-2.121587,2.121587,-3.053271,3.053271,0.095910,0.095910
Sunderland,Arsenal,4.432166,-2.872630,2.872630,2.955820,2.955820,-1.187502,1.187502,-0.780921,0.780921,0.797010,0.797010
Sunderland,Aston Villa,3.128433,-0.934107,0.934107,2.038292,2.038292,-0.260380,0.260380,-2.134089,2.134089,0.371171,0.371171
Sunderland,Chelsea,4.384836,-2.671747,2.671747,2.719038,2.719038,-1.615500,1.615500,-1.234111,1.234111,-0.750014,0.750014
Sunderland,Crystal Palace,3.147504,-0.612694,0.612694,0.797164,0.797164,-1.114138,1.114138,-2.760106,2.760106,0.190860,0.190860
Sunderland,Everton,3.109577,-1.355962,1.355962,2.444767,2.444767,-0.559058,0.559058,-0.807805,0.807805,-0.942793,0.942793
Sunderland,Leicester City,3.497311,-0.733224,0.733224,-0.021705,0.021705,-0.570498,0.570498,-2.504067,2.504067,-2.257715,2.257715
Sunderland,Liverpool,4.807587,-2.410599,2.410599,2.259288,2.259288,-3.371759,3.371759,-0.541524,0.541524,-0.731791,0.731791
Sunderland,Manchester City,5.553174,-3.324617,3.324617,3.206413,3.206413,-1.496376,1.496376,-2.385008,2.385008,-1.255458,1.255458
Sunderland,Manchester United,6.093908,-3.404971,3.404971,3.234038,3.234038,-2.000723,2.000723,-3.164649,3.164649,1.031989,1.031989
Sunderland,Newcastle United,3.116274,-0.431899,0.431899,1.574595,1.574595,-0.517527,0.517527,-2.442617,2.442617,-0.900592,0.900592
Sunderland,Norwich City,3.799334,-1.205299,1.205299,1.063543,1.063543,-0.127081,0.127081,-3.370760,3.370760,0.687673,0.687673
Sunderland,Southampton,3.495492,-1.607066,1.607066,1.566703,1.566703,-1.226546,1.226546,-1.609208,1.609208,-1.757066,1.757066
Sunderland,Stoke City,2.590879,-0.853754,0.853754,1.898197,1.898197,-0.473011,0.473011,-0.992153,0.992153,1.082821,1.082821
Sunderland,Swansea City,3.922757,-1.134990,1.134990,2.648004,2.648004,-1.288470,1.288470,-2.198099,2.198099,0.772073,0.772073
Sunderland,Tottenham Hotspur,4.940439,-2.310157,2.310157,2.466472,2.466472,-3.353853,3.353853,-0.345653,0.345653,-1.272722,1.272722
Sunderland,Watford,1.306721,-0.693047,0.693047,0.706397,0.706397,-0.146479,0.146479,-0.773239,0.773239,-0.329929,0.329929
Sunderland,West Bromwich Albion,2.226248,-0.200883,0.200883,0.351226,0.351226,0.008456,0.008456,-1.797397,1.797397,1.249704,1.249704
Sunderland,West Ham United,3.444953,-1.185211,1.185211,1.543025,1.543025,-0.036060,0.036060,-2.602642,2.602642,-1.143244,1.143244
Swansea City,AFC Bournemouth,1.557469,-0.693047,0.693047,-0.250594,0.250594,-0.833116,0.833116,-0.855172,0.855172,-0.676164,0.676164
Swansea City,Arsenal,2.265691,-1.737640,1.737640,0.307816,0.307816,0.100969,0.100969,1.417179,1.417179,0.024937,0.024937
Swansea City,Aston Villa,1.278238,0.200883,0.200883,-0.609712,0.609712,1.028090,1.028090,0.064010,0.064010,-0.400903,0.400903
Swansea City,Chelsea,2.391577,-1.536757,1.536757,0.071034,0.071034,-0.327029,0.327029,0.963989,0.963989,-1.522087,1.522087
